,Price,Close,Open,Trend,MA_5,FVG,LiquidityGrabHigh,LiquidityGrabLow,Target,Label
4,2025-04-10 00:00:00+00:00,1.0958904027938845,1.0955302715301514,1,1.0954342842102052,-1,0,0,1.0972130298614502,1.0
5,2025-04-10 00:15:00+00:00,1.0972130298614502,1.0960105657577517,1,1.095818829536438,-1,1,1,1.0976948738098145,1.0
6,2025-04-10 00:30:00+00:00,1.0976948738098145,1.0973334312438965,1,1.096275758743286,-1,1,1,1.0989010334014893,1.0
7,2025-04-10 00:45:00+00:00,1.0989010334014893,1.0978153944015503,1,1.0970219135284425,-1,1,1,1.0982975959777832,0.0
8,2025-04-10 01:00:00+00:00,1.0982975959777832,1.098780393600464,1,1.0975993871688843,-1,0,1,1.098659634590149,0.0
9,2025-04-10 01:15:00+00:00,1.098659634590149,1.098538875579834,1,1.0981532335281372,0,1,1,1.0982975959777832,0.0
10,2025-04-10 01:30:00+00:00,1.0982975959777832,1.098418354988098,-1,1.0983701467514038,0,0,1,1.0975743532180786,0.0
11,2025-04-10 01:45:00+00:00,1.0975743532180786,1.0975743532180786,-1,1.0983460426330567,1,0,1,1.096731662750244,1.0
12,2025-04-10 02:00:00+00:00,1.096731662750244,1.0978153944015503,-1,1.0979121685028077,1,0,1,1.0969723463058472,1.0
13,2025-04-10 02:15:00+00:00,1.0969723463058472,1.096611499786377,-1,1.0976471185684205,1,0,1,1.096731662750244,1.0
14,2025-04-10 02:30:00+00:00,1.096731662750244,1.0969723463058472,-1,1.0972615242004393,0,0,1,1.0974539518356323,1.0
15,2025-04-10 02:45:00+00:00,1.0974539518356323,1.096731662750244,1,1.097092795372009,0,0,1,1.0990219116210938,1.0
16,2025-04-10 03:00:00+00:00,1.0990219116210938,1.0974539518356323,1,1.097382307052612,-1,1,1,1.098659634590149,1.0
17,2025-04-10 03:15:00+00:00,1.098659634590149,1.0991426706314087,1,1.0977679014205932,-1,1,1,1.098418354988098,1.0
18,2025-04-10 03:30:00+00:00,1.098418354988098,1.098418354988098,1,1.0980571031570434,0,0,1,1.098659634590149,1.0
19,2025-04-10 03:45:00+00:00,1.098659634590149,1.098418354988098,1,1.0984426975250243,0,0,1,1.098538875579834,1.0
20,2025-04-10 04:00:00+00:00,1.098538875579834,1.098418354988098,-1,1.0986596822738648,0,0,1,1.098659634590149,1.0
21,2025-04-10 04:15:00+00:00,1.098659634590149,1.098538875579834,1,1.0985872268676757,0,0,1,1.0982975959777832,1.0
22,2025-04-10 04:30:00+00:00,1.0982975959777832,1.098659634590149,-1,1.0985148191452025,0,0,1,1.098659634590149,1.0
23,2025-04-10 04:45:00+00:00,1.098659634590149,1.0981770753860474,1,1.0985630750656128,0,0,1,1.0981770753860474,1.0
24,2025-04-10 05:00:00+00:00,1.0981770753860474,1.098659634590149,-1,1.0984665632247925,0,0,1,1.0992635488510132,1.0
25,2025-04-10 05:15:00+00:00,1.0992635488510132,1.0982975959777832,1,1.0986114978790282,0,1,1,1.0991426706314087,1.0
26,2025-04-10 05:30:00+00:00,1.0991426706314087,1.099384307861328,1,1.0987081050872802,-1,1,1,1.098780393600464,1.0
27,2025-04-10 05:45:00+00:00,1.098780393600464,1.0989010334014893,-1,1.0988046646118164,0,0,1,1.0974539518356323,1.0
28,2025-04-10 06:00:00+00:00,1.0974539518356323,1.0989010334014893,-1,1.0985635280609132,0,0,1,1.098056435585022,1.0
29,2025-04-10 06:15:00+00:00,1.098056435585022,1.0974539518356323,-1,1.098539400100708,0,0,1,1.0978153944015503,1.0
30,2025-04-10 06:30:00+00:00,1.0978153944015503,1.098538875579834,-1,1.0982497692108155,0,0,1,1.098538875579834,1.0
31,2025-04-10 06:45:00+00:00,1.098538875579834,1.0978153944015503,1,1.0981290102005006,0,0,1,1.098418354988098,1.0
32,2025-04-10 07:00:00+00:00,1.098418354988098,1.098780393600464,1,1.0980566024780274,0,0,1,1.0990219116210938,1.0
33,2025-04-10 07:15:00+00:00,1.0990219116210938,1.098418354988098,1,1.0983701944351196,0,1,1,1.1018069982528689,1.0
34,2025-04-10 07:30:00+00:00,1.1018069982528689,1.098418354988098,1,1.099120306968689,0,1,1,1.1031439304351809,1.0
35,2025-04-10 07:45:00+00:00,1.1031439304351809,1.101321578025818,1,1.100186014175415,-1,1,1,1.1024142503738403,1.0
36,2025-04-10 08:00:00+00:00,1.1024142503738403,1.1029006242752075,1,1.1009610891342163,-1,0,1,1.1037527322769165,1.0
37,2025-04-10 08:15:00+00:00,1.1037527322769165,1.1027790307998655,1,1.10202796459198,0,1,1,1.103265643119812,1.0
38,2025-04-10 08:30:00+00:00,1.103265643119812,1.103265643119812,1,1.1028767108917237,0,1,1,1.1041183471679688,1.0
39,2025-04-10 08:45:00+00:00,1.1041183471679688,1.1030223369598389,1,1.1033389806747436,0,0,1,1.1041183471679688,1.0
40,2025-04-10 09:00:00+00:00,1.1041183471679688,1.1038745641708374,1,1.1035338640213013,0,0,1,1.1047282218933103,1.0
41,2025-04-10 09:15:00+00:00,1.1047282218933103,1.1043622493743896,1,1.1039966583251952,0,1,1,1.1046061515808103,1.0
42,2025-04-10 09:30:00+00:00,1.1046061515808103,1.1046061515808103,1,1.1041673421859741,0,0,1,1.1060723066329956,1.0
43,2025-04-10 09:45:00+00:00,1.1060723066329956,1.1049723625183103,1,1.104728674888611,0,1,1,1.107051968574524,1.0
44,2025-04-10 10:00:00+00:00,1.107051968574524,1.1061947345733645,1,1.1053153991699218,-1,1,0,1.1059499979019165,1.0
45,2025-04-10 10:15:00+00:00,1.1059499979019165,1.1068068742752075,1,1.1056817293167114,0,0,1,1.107419729232788,1.0
46,2025-04-10 10:30:00+00:00,1.107419729232788,1.1059499979019165,1,1.1062200307846068,0,1,1,1.108033299446106,1.0
47,2025-04-10 10:45:00+00:00,1.108033299446106,1.1072970628738403,1,1.106905460357666,0,0,1,1.1082788705825806,1.0
48,2025-04-10 11:00:00+00:00,1.1082788705825806,1.1082788705825806,1,1.107346773147583,0,1,0,1.1079105138778689,1.0
49,2025-04-10 11:15:00+00:00,1.1079105138778689,1.108401656150818,1,1.107518482208252,0,0,1,1.1076650619506836,1.0
50,2025-04-10 11:30:00+00:00,1.1076650619506836,1.1082788705825806,-1,1.1078614950180055,0,0,1,1.1075423955917358,1.0
51,2025-04-10 11:45:00+00:00,1.1075423955917358,1.1076650619506836,-1,1.1078860282897949,0,0,1,1.109385371208191,1.0
52,2025-04-10 12:00:00+00:00,1.109385371208191,1.1072970628738403,1,1.108156442642212,0,1,1,1.1107407808303833,1.0
53,2025-04-10 12:15:00+00:00,1.1107407808303833,1.109385371208191,1,1.1086488246917725,-1,1,0,1.1117286682128906,1.0
54,2025-04-10 12:30:00+00:00,1.1117286682128906,1.113089919090271,1,1.1094124555587768,-1,1,0,1.1102476119995115,1.0
55,2025-04-10 12:45:00+00:00,1.1102476119995115,1.1114816665649414,1,1.1099289655685425,0,0,1,1.1112345457077026,1.0
56,2025-04-10 13:00:00+00:00,1.1112345457077026,1.1097548007965088,1,1.1106673955917359,1,0,1,1.1123470067977903,1.0
57,2025-04-10 13:15:00+00:00,1.1123470067977903,1.1112345457077026,1,1.1112597227096557,0,0,1,1.1129660606384275,1.0
58,2025-04-10 13:30:00+00:00,1.1129660606384275,1.1120996475219729,1,1.1117047786712646,-1,0,1,1.113089919090271,1.0
59,2025-04-10 13:45:00+00:00,1.113089919090271,1.1127183437347412,1,1.1119770288467408,-1,1,1,1.1133378744125366,1.0
60,2025-04-10 14:00:00+00:00,1.1133378744125366,1.1135857105255127,1,1.1125950813293457,0,1,1,1.113709807395935,1.0
61,2025-04-10 14:15:00+00:00,1.113709807395935,1.11346173286438,1,1.1130901336669923,0,1,1,1.1143302917480469,1.0
62,2025-04-10 14:30:00+00:00,1.1143302917480469,1.113709807395935,1,1.1134867906570434,0,1,1,1.1185681819915771,1.0
