Datetime,Close,High,Low,Open,Volume
2025-04-14 20:10:00+00:00,1.1361054182052612,1.1361054182052612,1.1357183456420898,1.1357183456420898,0
2025-04-14 20:15:00+00:00,1.1358473300933838,1.1361054182052612,1.1358473300933838,1.1359764337539673,0
2025-04-14 20:20:00+00:00,1.1357183456420898,1.1357183456420898,1.1352026462554932,1.135589361190796,0
2025-04-14 20:25:00+00:00,1.1352026462554932,1.1354604959487915,1.1350737810134888,1.1354604959487915,0
2025-04-14 20:30:00+00:00,1.1352026462554932,1.1352026462554932,1.1349449157714844,1.1350737810134888,0
2025-04-14 20:35:00+00:00,1.1352026462554932,1.1352026462554932,1.1348161697387695,1.1348161697387695,0
2025-04-14 20:40:00+00:00,1.1354604959487915,1.1354604959487915,1.1352026462554932,1.1353315114974976,0
2025-04-14 20:45:00+00:00,1.1357183456420898,1.1357183456420898,1.135589361190796,1.135589361190796,0
2025-04-14 20:50:00+00:00,1.1353315114974976,1.1357183456420898,1.1353315114974976,1.135589361190796,0
2025-04-14 20:55:00+00:00,1.1353315114974976,1.1353315114974976,1.1352026462554932,1.1353315114974976,0
2025-04-14 21:00:00+00:00,1.1357183456420898,1.1357183456420898,1.1352026462554932,1.1352026462554932,0
2025-04-14 21:05:00+00:00,1.1352026462554932,1.1353315114974976,1.1350737810134888,1.1350737810134888,0
2025-04-14 21:10:00+00:00,1.1350737810134888,1.1353315114974976,1.1350737810134888,1.1353315114974976,0
2025-04-14 21:15:00+00:00,1.1354604959487915,1.1357183456420898,1.1353315114974976,1.1353315114974976,0
2025-04-14 21:20:00+00:00,1.1354604959487915,1.135589361190796,1.1352026462554932,1.135589361190796,0
2025-04-14 21:25:00+00:00,1.1354604959487915,1.1357183456420898,1.1353315114974976,1.1354604959487915,0
2025-04-14 21:30:00+00:00,1.1358473300933838,1.1358473300933838,1.1354604959487915,1.1354604959487915,0
2025-04-14 21:35:00+00:00,1.1359764337539673,1.1359764337539673,1.1358473300933838,1.1358473300933838,0
2025-04-14 21:40:00+00:00,1.1357183456420898,1.1359764337539673,1.1357183456420898,1.1358473300933838,0
2025-04-14 21:45:00+00:00,1.1358473300933838,1.1358473300933838,1.1358473300933838,1.1358473300933838,0
2025-04-14 21:50:00+00:00,1.1358473300933838,1.1358473300933838,1.1357183456420898,1.1357183456420898,0
2025-04-14 21:55:00+00:00,1.1362345218658447,1.1362345218658447,1.1357183456420898,1.1358473300933838,0
2025-04-14 22:00:00+00:00,1.1361054182052612,1.1367511749267578,1.1361054182052612,1.1362345218658447,0
2025-04-14 22:05:00+00:00,1.1353315114974976,1.1362345218658447,1.1353315114974976,1.1362345218658447,0
2025-04-14 22:10:00+00:00,1.1349449157714844,1.135589361190796,1.1348161697387695,1.1352026462554932,0
2025-04-14 22:15:00+00:00,1.1353315114974976,1.1353315114974976,1.1349449157714844,1.1349449157714844,0
2025-04-14 22:20:00+00:00,1.1353315114974976,1.1353315114974976,1.1350737810134888,1.1350737810134888,0
2025-04-14 22:25:00+00:00,1.1354604959487915,1.1354604959487915,1.1353315114974976,1.1353315114974976,0
2025-04-14 22:30:00+00:00,1.1359764337539673,1.1359764337539673,1.1357183456420898,1.1358473300933838,0
2025-04-14 22:35:00+00:00,1.1358473300933838,1.1359764337539673,1.1358473300933838,1.1359764337539673,0
2025-04-14 22:40:00+00:00,1.1358473300933838,1.1359764337539673,1.1358473300933838,1.1359764337539673,0
2025-04-14 22:45:00+00:00,1.1354604959487915,1.135589361190796,1.1353315114974976,1.1354604959487915,0
2025-04-14 22:50:00+00:00,1.1357183456420898,1.1357183456420898,1.1353315114974976,1.1353315114974976,0
2025-04-14 22:55:00+00:00,1.1357183456420898,1.1357183456420898,1.1357183456420898,1.1357183456420898,0
2025-04-14 23:00:00+00:00,1.1352026462554932,1.1357183456420898,1.1350737810134888,1.135589361190796,0
2025-04-14 23:05:00+00:00,1.1348161697387695,1.1352026462554932,1.1348161697387695,1.1352026462554932,0
2025-04-14 23:10:00+00:00,1.1346874237060547,1.1346874237060547,1.1346874237060547,1.1346874237060547,0
2025-04-14 23:15:00+00:00,1.1345586776733398,1.1346874237060547,1.134429931640625,1.134429931640625,0
2025-04-14 23:20:00+00:00,1.1345586776733398,1.1346874237060547,1.134429931640625,1.1346874237060547,0
2025-04-14 23:25:00+00:00,1.1348161697387695,1.1348161697387695,1.1346874237060547,1.1348161697387695,0
2025-04-14 23:30:00+00:00,1.1348161697387695,1.1348161697387695,1.1345586776733398,1.1345586776733398,0
